,sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
78,2020-04-22,65.60455474490759,Midwest,IN,"Steuben County, IN",18151
79,2020-04-22,297.25223333732833,Northeast,MA,"Suffolk County, MA",25025
80,2020-04-22,0.0,West,WY,"Teton County, WY",56039
81,2020-04-22,0.0,West,OR,"Yamhill County, OR",41071
82,2020-04-22,3.77181679906896,West,AZ,"Yavapai County, AZ",4025
83,2020-04-29,233.5536693117588,West,CO,"Arapahoe County, CO",8005
84,2020-04-29,49.77198763349592,West,OR,"Deschutes County, OR",41017
85,2020-04-29,2599.380746251432,Northeast,NJ,"Essex County, NJ",34013
86,2020-04-29,19.71485540952924,Northeast,CT,"Fairfield County, CT",9001
87,2020-04-29,138.51779868130637,Northeast,MA,"Hampshire County, MA",25015
88,2020-04-29,0.0,South,KY,"Harrison County, KY",21097
89,2020-04-29,1201.4469101898178,Midwest,MN,"Hennepin County, MN",27053
90,2020-04-29,0.0349434236516743,West,HI,"Honolulu County, HI",15003
91,2020-04-29,0.0,Northeast,PA,"Indiana County, PA",42063
92,2020-04-29,254.5147477076703,South,KY,"Jefferson County, KY",21111
93,2020-04-29,92.04709303055236,South,FL,"Miami-Dade County, FL",12086
94,2020-04-29,35.14149270615239,West,OR,"Multnomah County, OR",41051
95,2020-04-29,0.0,Northeast,MA,"Nantucket County, MA",25019
96,2020-04-29,193.46338781769512,South,DE,"New Castle County, DE",10003
97,2020-04-29,30.54648591868398,South,OK,"Oklahoma County, OK",40109
98,2020-04-29,0.0,West,MT,"Park County, MT",30067
99,2020-04-29,150.71650558065477,Midwest,IL,"Peoria County, IL",17143
100,2020-04-29,0.0,West,CA,"Placer County, CA",6061
101,2020-04-29,2549.3635595095,Northeast,MA,"Plymouth County, MA",25023
102,2020-04-29,699.9643965306651,South,VA,"Stafford County, VA",51179
103,2020-04-29,45.99173766271917,Midwest,IN,"Steuben County, IN",18151
104,2020-04-29,170.83563386391248,Northeast,MA,"Suffolk County, MA",25025
105,2020-04-29,0.0,West,WY,"Teton County, WY",56039
106,2020-04-29,0.0,West,OR,"Yamhill County, OR",41071
107,2020-04-29,0.0,West,AZ,"Yavapai County, AZ",4025
108,2020-05-06,0.0641567242164312,West,ID,"Ada County, ID",16001
109,2020-05-06,213.32983219714788,West,CO,"Arapahoe County, CO",8005
110,2020-05-06,0.0,South,FL,"Brevard County, FL",12009
111,2020-05-06,383.15271153138025,Northeast,PA,"Dauphin County, PA",42043
112,2020-05-06,0.0,West,OR,"Deschutes County, OR",41017
113,2020-05-06,0.0,West,NV,"Elko County, NV",32007
114,2020-05-06,277.54527846483467,Northeast,NJ,"Essex County, NJ",34013
115,2020-05-06,10.321576110513991,Northeast,CT,"Fairfield County, CT",9001
116,2020-05-06,47.793444613247786,South,TN,"Hamilton County, TN",47065
117,2020-05-06,68.36978916957092,Northeast,MA,"Hampshire County, MA",25015
118,2020-05-06,0.0,South,KY,"Harrison County, KY",21097
119,2020-05-06,929.3504704043454,Midwest,MN,"Hennepin County, MN",27053
120,2020-05-06,0.1164780788389146,West,HI,"Honolulu County, HI",15003
121,2020-05-06,0.0,Northeast,PA,"Indiana County, PA",42063
122,2020-05-06,191.2752393219025,South,KY,"Jefferson County, KY",21111
123,2020-05-06,0.0,Northeast,ME,"Knox County, ME",23013
124,2020-05-06,28.98555453066494,West,CA,"Lake County, CA",6033
125,2020-05-06,0.0,West,ID,"Latah County, ID",16057
126,2020-05-06,254.0759434334164,South,FL,"Miami-Dade County, FL",12086
127,2020-05-06,0.0,West,CA,"Monterey County, CA",6053
128,2020-05-06,719.1233807021399,Northeast,PA,"Montgomery County, PA",42091
129,2020-05-06,117.13830902050796,West,OR,"Multnomah County, OR",41051
130,2020-05-06,0.0,Northeast,MA,"Nantucket County, MA",25019
131,2020-05-06,257.4038429870263,South,DE,"New Castle County, DE",10003
132,2020-05-06,7.636621479670995,South,OK,"Oklahoma County, OK",40109
133,2020-05-06,1387.573247857896,South,FL,"Palm Beach County, FL",12099
134,2020-05-06,0.0,West,MT,"Park County, MT",30067
135,2020-05-06,0.0,Northeast,ME,"Penobscot County, ME",23019
136,2020-05-06,0.0,West,CA,"Placer County, CA",6061
137,2020-05-06,824.847124362769,Northeast,MA,"Plymouth County, MA",25023
138,2020-05-06,0.0,Northeast,ME,"Sagadahoc County, ME",23023
139,2020-05-06,32.279892234888,West,CA,"San Luis Obispo County, CA",6079
140,2020-05-06,0.0,West,CA,"Santa Cruz County, CA",6087
141,2020-05-06,1019.5491918913832,West,WA,"Skagit County, WA",53057
142,2020-05-06,786.1790641451506,South,VA,"Stafford County, VA",51179
143,2020-05-06,60.26707494693407,Midwest,IN,"Steuben County, IN",18151
144,2020-05-06,76.6372262866697,Northeast,MA,"Suffolk County, MA",25025
145,2020-05-06,7.389707087869876,West,WY,"Teton County, WY",56039
146,2020-05-06,0.0,Northeast,RI,"Washington County, RI",44009
147,2020-05-06,0.0,West,OR,"Yamhill County, OR",41071
148,2020-05-06,0.0,West,AZ,"Yavapai County, AZ",4025
149,2020-05-13,5.89252619856298,West,ID,"Ada County, ID",16001
150,2020-05-13,70.58226754239497,West,CO,"Arapahoe County, CO",8005
151,2020-05-13,0.0,South,FL,"Brevard County, FL",12009
152,2020-05-13,234.24707109667088,Northeast,PA,"Dauphin County, PA",42043
153,2020-05-13,1.1203038035683406,West,OR,"Deschutes County, OR",41017
154,2020-05-13,0.0,West,NV,"Elko County, NV",32007
155,2020-05-13,62.32188258428359,Northeast,NJ,"Essex County, NJ",34013
156,2020-05-13,1.759677784998512,Northeast,CT,"Fairfield County, CT",9001
157,2020-05-13,771.7639071144392,Northeast,PA,"Franklin County, PA",42055
158,2020-05-13,73.6476058237201,Northeast,MA,"Hampshire County, MA",25015
159,2020-05-13,0.0,South,KY,"Harrison County, KY",21097
160,2020-05-13,434.5991516630732,Midwest,MN,"Hennepin County, MN",27053
161,2020-05-13,0.0291195197097286,West,HI,"Honolulu County, HI",15003
162,2020-05-13,0.4565036760232118,Northeast,PA,"Indiana County, PA",42063
163,2020-05-13,62.17353080593825,South,KY,"Jefferson County, KY",21111
164,2020-05-13,0.7660226115678778,Northeast,ME,"Knox County, ME",23013
165,2020-05-13,96.61851510221646,West,CA,"Lake County, CA",6033
166,2020-05-13,114.2837504469675,Midwest,IN,"Lake County, IN",18089
167,2020-05-13,0.0,West,ID,"Latah County, ID",16057
168,2020-05-13,118.37699542894474,South,FL,"Miami-Dade County, FL",12086
169,2020-05-13,0.0,West,CA,"Monterey County, CA",6053
170,2020-05-13,176.76219832844754,Northeast,PA,"Montgomery County, PA",42091
171,2020-05-13,35.14149270615239,West,OR,"Multnomah County, OR",41051
172,2020-05-13,34.971805102249405,Northeast,NY,"Nassau County, NY",36059
173,2020-05-13,343.91300693806016,South,DE,"New Castle County, DE",10003
174,2020-05-13,0.0,South,OK,"Oklahoma County, OK",40109
175,2020-05-13,1533.6988327715317,South,FL,"Palm Beach County, FL",12099
176,2020-05-13,0.0,West,MT,"Park County, MT",30067
177,2020-05-13,0.0,Northeast,ME,"Penobscot County, ME",23019
178,2020-05-13,64.22068985180373,Midwest,IL,"Peoria County, IL",17143
179,2020-05-13,0.6293384793182056,West,AZ,"Pima County, AZ",4019
180,2020-05-13,0.0,West,CA,"Placer County, CA",6061
181,2020-05-13,281.43292670095457,Northeast,MA,"Plymouth County, MA",25023
182,2020-05-13,98.8489510314518,West,CA,"San Luis Obispo County, CA",6079
183,2020-05-13,674.0881616998059,South,VA,"Stafford County, VA",51179
184,2020-05-13,139.2483803827284,Midwest,IN,"Steuben County, IN",18151
185,2020-05-13,129.08198246050617,Northeast,MA,"Suffolk County, MA",25025
186,2020-05-13,9.49585686237732,Midwest,IN,"Tippecanoe County, IN",18157
187,2020-05-13,0.0,Northeast,RI,"Washington County, RI",44009
188,2020-05-13,0.0,West,OR,"Yamhill County, OR",41071
189,2020-05-13,1.1470739579947304,West,AZ,"Yavapai County, AZ",4025
190,2020-05-13,0.8469438665189699,Northeast,ME,"York County, ME",23031
191,2020-05-20,25.52404294425519,West,ID,"Ada County, ID",16001
192,2020-05-20,60.85113141404367,West,CO,"Arapahoe County, CO",8005
193,2020-05-20,2.133699170177424,South,FL,"Brevard County, FL",12009
194,2020-05-20,0.0,Northeast,VT,"Chittenden County, VT",50007
195,2020-05-20,217.7194905935596,Northeast,PA,"Dauphin County, PA",42043
196,2020-05-20,4.68107374095167,West,OR,"Deschutes County, OR",41017
197,2020-05-20,0.0,West,NV,"Elko County, NV",32007
198,2020-05-20,34.89376170503819,Northeast,PA,"Erie County, PA",42049
199,2020-05-20,43.41787959517874,Northeast,NJ,"Essex County, NJ",34013
200,2020-05-20,374.1639521402445,Northeast,PA,"Franklin County, PA",42055
201,2020-05-20,267.47955175743414,South,TN,"Hamilton County, TN",47065
202,2020-05-20,35.2049439876027,Northeast,MA,"Hampshire County, MA",25015
203,2020-05-20,54.008762977826,South,KY,"Harrison County, KY",21097
204,2020-05-20,194.27418822650228,Northeast,CT,"Hartford County, CT",9003
205,2020-05-20,196.5401752367993,Midwest,MN,"Hennepin County, MN",27053
206,2020-05-20,0.0,West,HI,"Honolulu County, HI",15003
207,2020-05-20,1.8260147040928472,Northeast,PA,"Indiana County, PA",42063
208,2020-05-20,36.91282988851077,South,KY,"Jefferson County, KY",21111
209,2020-05-20,3.064090446271511,Northeast,ME,"Knox County, ME",23013
210,2020-05-20,24.15462877555412,West,CA,"Lake County, CA",6033
211,2020-05-20,113.53179100207204,Midwest,IN,"Lake County, IN",18089
212,2020-05-20,1.9967367325035423,West,ID,"Latah County, ID",16057
213,2020-05-20,5.377643985192533,West,CA,"Los Angeles County, CA",6037
214,2020-05-20,44.935063314452606,South,FL,"Miami-Dade County, FL",12086
215,2020-05-20,10.53302255164288,Northeast,CT,"Middlesex County, CT",9007
216,2020-05-20,0.0,West,CA,"Monterey County, CA",6053
217,2020-05-20,18.923179381257448,Northeast,PA,"Montgomery County, PA",42091
218,2020-05-20,0.0,Northeast,MA,"Nantucket County, MA",25019
219,2020-05-20,7.2857927296352925,Northeast,NY,"Nassau County, NY",36059
220,2020-05-20,167.31152340106118,South,DE,"New Castle County, DE",10003
221,2020-05-20,0.7919900704270435,South,OK,"Oklahoma County, OK",40109
222,2020-05-20,396.15579389642494,South,FL,"Palm Beach County, FL",12099
223,2020-05-20,0.0,West,MT,"Park County, MT",30067
224,2020-05-20,0.0,Northeast,ME,"Penobscot County, ME",23019
225,2020-05-20,65.24967376334564,Midwest,IL,"Peoria County, IL",17143
226,2020-05-20,2.5173539172728225,West,AZ,"Pima County, AZ",4019
227,2020-05-20,3.439160569964624,West,CA,"Placer County, CA",6061
228,2020-05-20,42.74184057922461,Northeast,MA,"Plymouth County, MA",25023
229,2020-05-20,0.0,Northeast,ME,"Sagadahoc County, ME",23023
230,2020-05-20,30.58856194337039,West,CA,"San Luis Obispo County, CA",6079
231,2020-05-20,282.374527129244,South,VA,"Stafford County, VA",51179
232,2020-05-20,58.13068047586996,Midwest,IN,"Steuben County, IN",18151
233,2020-05-20,127.32505813343018,Northeast,MA,"Suffolk County, MA",25025
234,2020-05-20,29.558828351479505,West,WY,"Teton County, WY",56039
235,2020-05-20,1.978303512995275,Midwest,IN,"Tippecanoe County, IN",18157
236,2020-05-20,28.0596048103239,Northeast,NJ,"Union County, NJ",34039
237,2020-05-20,0.0,Northeast,RI,"Washington County, RI",44009
238,2020-05-20,5.316619451192556,West,OR,"Yamhill County, OR",41071
239,2020-05-20,4.588295831978922,West,AZ,"Yavapai County, AZ",4025
240,2020-05-20,2.8231462217299,Northeast,ME,"York County, ME",23031
241,2020-05-27,19.784534967361697,West,ID,"Ada County, ID",16001
242,2020-05-27,69.74039524112713,West,CO,"Arapahoe County, CO",8005
243,2020-05-27,10.241756016851635,South,FL,"Brevard County, FL",12009
244,2020-05-27,412.8780257751943,Northeast,PA,"Dauphin County, PA",42043
245,2020-05-27,2.303685492337886,West,OR,"Deschutes County, OR",41017
246,2020-05-27,17.82244877341311,West,NV,"Elko County, NV",32007
247,2020-05-27,56.87278916294466,Northeast,PA,"Erie County, PA",42049
248,2020-05-27,27.57757465799556,Northeast,NJ,"Essex County, NJ",34013
249,2020-05-27,0.0,Northeast,CT,"Fairfield County, CT",9001
250,2020-05-27,173.3855848154369,Northeast,PA,"Franklin County, PA",42055
251,2020-05-27,567.0001792369673,South,TN,"Hamilton County, TN",47065
252,2020-05-27,14.810285225778133,Northeast,MA,"Hampshire County, MA",25015
253,2020-05-27,259.2420622935648,South,KY,"Harrison County, KY",21097
254,2020-05-27,206.1280957223648,Midwest,MN,"Hennepin County, MN",27053
255,2020-05-27,0.0,West,HI,"Honolulu County, HI",15003
256,2020-05-27,2.525308468497352,Northeast,PA,"Indiana County, PA",42063
257,2020-05-27,142.44359291644056,South,KY,"Jefferson County, KY",21111
258,2020-05-27,0.9192271338814534,Northeast,ME,"Knox County, ME",23013
259,2020-05-27,0.0,West,CA,"Lake County, CA",6033
260,2020-05-27,38.700278983650925,Midwest,IN,"Lake County, IN",18089
261,2020-05-27,9.584336316017003,West,ID,"Latah County, ID",16057
262,2020-05-27,56.5786487198742,South,FL,"Miami-Dade County, FL",12086
263,2020-05-27,0.0,West,CA,"Monterey County, CA",6053
264,2020-05-27,0.0,Northeast,NY,"Nassau County, NY",36059
265,2020-05-27,88.9704453663707,South,DE,"New Castle County, DE",10003
266,2020-05-27,3.8015523380498086,South,OK,"Oklahoma County, OK",40109
267,2020-05-27,249.64783306259372,South,FL,"Palm Beach County, FL",12099
268,2020-05-27,0.0,West,MT,"Park County, MT",30067
269,2020-05-27,0.0,Northeast,ME,"Penobscot County, ME",23019
270,2020-05-27,35.35829814968283,Midwest,IL,"Peoria County, IL",17143
271,2020-05-27,29.22719389622496,West,CA,"Placer County, CA",6061
272,2020-05-27,72.7678343205764,Northeast,MA,"Plymouth County, MA",25023
273,2020-05-27,0.0,Northeast,ME,"Sagadahoc County, ME",23023
274,2020-05-27,5.783066790592858,West,CA,"San Luis Obispo County, CA",6079
275,2020-05-27,8.079003722333653,West,CA,"Santa Cruz County, CA",6087
276,2020-05-27,21.598691716774663,Midwest,IN,"Steuben County, IN",18151
277,2020-05-27,75.57065379651911,Northeast,MA,"Suffolk County, MA",25025
278,2020-05-27,8.547937298460129,West,WY,"Teton County, WY",56039
279,2020-05-27,0.0,Midwest,IN,"Tippecanoe County, IN",18157
280,2020-05-27,6.853731935079906,Northeast,NJ,"Union County, NJ",34039
281,2020-05-27,25.51977336572427,West,OR,"Yamhill County, OR",41071
282,2020-05-27,1.3877319254624438,West,AZ,"Yavapai County, AZ",4025
283,2020-05-27,0.7057865554324749,Northeast,ME,"York County, ME",23031
284,2020-06-03,33.28642825071847,West,ID,"Ada County, ID",16001
285,2020-06-03,62.54177914540936,West,CO,"Arapahoe County, CO",8005
286,2020-06-03,79.23529286848616,West,NV,"Elko County, NV",32007
287,2020-06-03,69.18729361849448,Northeast,PA,"Erie County, PA",42049
288,2020-06-03,44.15246891134939,Northeast,NJ,"Essex County, NJ",34013
289,2020-06-03,71.29373234802529,Northeast,PA,"Franklin County, PA",42055
290,2020-06-03,151.29881799808058,Midwest,MN,"Hennepin County, MN",27053
291,2020-06-03,17.046517839218946,Northeast,PA,"Indiana County, PA",42063
292,2020-06-03,35.71110567545269,Midwest,IN,"Lake County, IN",18089
293,2020-06-03,18.41470498029771,West,CA,"Los Angeles County, CA",6037
294,2020-06-03,172.51767705519694,South,FL,"Miami-Dade County, FL",12086
295,2020-06-03,0.0,West,CA,"Monterey County, CA",6053
296,2020-06-03,0.0,Northeast,NY,"Nassau County, NY",36059
297,2020-06-03,156.27723350920908,South,DE,"New Castle County, DE",10003
298,2020-06-03,0.0,West,MT,"Park County, MT",30067
299,2020-06-03,116.31540299361278,Midwest,IL,"Peoria County, IL",17143
300,2020-06-03,70.41034284211358,West,CA,"Placer County, CA",6061
301,2020-06-03,96.38073377104824,Northeast,MA,"Plymouth County, MA",25023
302,2020-06-03,6.776121747912636,West,CA,"San Luis Obispo County, CA",6079
303,2020-06-03,20.724221862488584,West,CA,"Santa Cruz County, CA",6087
304,2020-06-03,30.739431594254285,West,WA,"Skagit County, WA",53057
305,2020-06-03,12.092171017731316,Midwest,IN,"Steuben County, IN",18151
306,2020-06-03,51.922019739691,Northeast,MA,"Suffolk County, MA",25025
307,2020-06-03,4.632920842361011,West,WY,"Teton County, WY",56039
308,2020-06-03,7.003780305902413,Northeast,NJ,"Union County, NJ",34039
309,2020-06-03,1.155158243845024,West,AZ,"Yavapai County, AZ",4025
310,2020-06-03,0.0,Northeast,ME,"York County, ME",23031
311,2020-06-10,110.68086094432762,West,ID,"Ada County, ID",16001
312,2020-06-10,62.44148163002487,West,CO,"Arapahoe County, CO",8005
313,2020-06-10,397.74661757125546,Northeast,PA,"Dauphin County, PA",42043
314,2020-06-10,49.604439872747946,West,NV,"Elko County, NV",32007
315,2020-06-10,36.06147221369047,Northeast,PA,"Erie County, PA",42049
316,2020-06-10,40.32263248745652,Northeast,NJ,"Essex County, NJ",34013
317,2020-06-10,11.941700801598936,Northeast,MA,"Hampshire County, MA",25015
318,2020-06-10,244.59353725808856,Midwest,MN,"Hennepin County, MN",27053
319,2020-06-10,39.46840743007692,Northeast,PA,"Indiana County, PA",42063
320,2020-06-10,129.12959798153557,South,KY,"Jefferson County, KY",21111
321,2020-06-10,0.0,West,CA,"Lake County, CA",6033
322,2020-06-10,293.3360462951458,South,FL,"Miami-Dade County, FL",12086
323,2020-06-10,26.530124403388687,West,CA,"Monterey County, CA",6053
324,2020-06-10,3.1093934668748178,Northeast,PA,"Montgomery County, PA",42091
325,2020-06-10,17.27036844708126,Northeast,MA,"Nantucket County, MA",25019
326,2020-06-10,0.0,Northeast,NY,"Nassau County, NY",36059
327,2020-06-10,171.34787558489984,South,DE,"New Castle County, DE",10003
328,2020-06-10,0.0,West,MT,"Park County, MT",30067
329,2020-06-10,183.57202599507204,Midwest,IL,"Peoria County, IL",17143
330,2020-06-10,107.87568253101408,West,CA,"Placer County, CA",6061
331,2020-06-10,3.095240899095315,West,CA,"San Luis Obispo County, CA",6079
332,2020-06-10,50.06705758504105,West,WA,"Skagit County, WA",53057
333,2020-06-10,146.52460613521671,South,VA,"Stafford County, VA",51179
334,2020-06-10,24.124667293700856,Midwest,IN,"Steuben County, IN",18151
335,2020-06-10,45.40256173313725,Northeast,MA,"Suffolk County, MA",25025
336,2020-06-10,1.3898762527083033,West,WY,"Teton County, WY",56039
337,2020-06-10,12.895407229673262,Northeast,NJ,"Union County, NJ",34039
338,2020-06-10,0.0,Northeast,RI,"Washington County, RI",44009
339,2020-06-17,225.00664528605373,West,ID,"Ada County, ID",16001
340,2020-06-17,45.039863367821,West,CO,"Arapahoe County, CO",8005
341,2020-06-17,418.00907135032776,Northeast,PA,"Dauphin County, PA",42043
342,2020-06-17,15.881716613659458,West,NV,"Elko County, NV",32007
343,2020-06-17,19.478863960679384,Northeast,PA,"Erie County, PA",42049
344,2020-06-17,22.48792943134972,Northeast,NJ,"Essex County, NJ",34013
345,2020-06-17,30.5403454030622,Northeast,CT,"Fairfield County, CT",9001
346,2020-06-17,39.053761095616935,Northeast,PA,"Franklin County, PA",42055
347,2020-06-17,206.5931182055133,Midwest,MN,"Hennepin County, MN",27053
348,2020-06-17,26.910739276488183,Northeast,PA,"Indiana County, PA",42063
349,2020-06-17,98.89283826597271,South,KY,"Jefferson County, KY",21111
350,2020-06-17,0.0,West,CA,"Lake County, CA",6033
351,2020-06-17,24.380005109556222,Midwest,IN,"Lake County, IN",18089
352,2020-06-17,282.66485731003866,South,FL,"Miami-Dade County, FL",12086
353,2020-06-17,111.26683066327462,West,CA,"Monterey County, CA",6053
355,2020-06-17,70.57616253558068,South,DE,"New Castle County, DE",10003
356,2020-06-17,705.7920317605325,South,FL,"Palm Beach County, FL",12099
357,2020-06-17,0.0,West,MT,"Park County, MT",30067
358,2020-06-17,122.391293725867,Midwest,IL,"Peoria County, IL",17143
359,2020-06-17,306.97292836004607,West,CA,"Placer County, CA",6061
360,2020-06-17,84.98939493884781,West,WA,"Skagit County, WA",53057
361,2020-06-17,24.43603110782408,Midwest,IN,"Steuben County, IN",18151
362,2020-06-17,31.3325954470204,Northeast,MA,"Suffolk County, MA",25025
363,2020-06-17,6.275048309534591,Northeast,NJ,"Union County, NJ",34039
364,2020-06-24,366.3933398990992,West,ID,"Ada County, ID",16001
365,2020-06-24,22.151919754755664,West,CO,"Arapahoe County, CO",8005
366,2020-06-24,0.0,West,OR,"Clackamas County, OR",41005
367,2020-06-24,222.3004177683199,Northeast,PA,"Dauphin County, PA",42043
368,2020-06-24,43.63498878459732,West,NV,"Elko County, NV",32007
369,2020-06-24,12.023294643759485,Northeast,PA,"Erie County, PA",42049
370,2020-06-24,10.027415413016591,Northeast,CT,"Fairfield County, CT",9001
371,2020-06-24,45.18954729077157,Northeast,PA,"Franklin County, PA",42055
372,2020-06-24,118.16801867443984,South,TN,"Hamilton County, TN",47065
373,2020-06-24,87.74808576156839,Midwest,MN,"Hennepin County, MN",27053
374,2020-06-24,42.14572526764768,Northeast,PA,"Indiana County, PA",42063
375,2020-06-24,65.33027373878446,South,KY,"Jefferson County, KY",21111
376,2020-06-24,0.0,West,CA,"Lake County, CA",6033
377,2020-06-24,71.35785937173584,Midwest,IN,"Lake County, IN",18089
378,2020-06-24,342.24607033631,South,FL,"Miami-Dade County, FL",12086
379,2020-06-24,50.939692297872455,West,CA,"Monterey County, CA",6053
380,2020-06-24,6.518394247720406,Northeast,PA,"Montgomery County, PA",42091
381,2020-06-24,71.61078188852197,West,OR,"Multnomah County, OR",41051
382,2020-06-24,5.060853640035593,Northeast,MA,"Nantucket County, MA",25019
383,2020-06-24,0.6899975064095035,Northeast,NY,"Nassau County, NY",36059
384,2020-06-24,48.476166934956495,South,DE,"New Castle County, DE",10003
385,2020-06-24,8.702368680956761,West,MT,"Park County, MT",30067
386,2020-06-24,63.69980346340204,Midwest,IL,"Peoria County, IL",17143
387,2020-06-24,144.35214515203677,West,CA,"Placer County, CA",6061
388,2020-06-24,52.39951676234616,West,WA,"Skagit County, WA",53057
